item_id,name,value
2,Image,omgevingsvisie (1).jpg
2,Image,omgevingsvisie (2).jpg
2,Image,omgevingsvisie (5).jpg
2,Image,omgevingsvisie (4).jpg
2,SourceLink,Omgevingsvisie 2050 (2021)
3,Image,groen tenzij (1).jpg
3,Image,groen tenzij (2).jpg
3,Image,groen tenzij (5).jpg
3,Image,groen tenzij (4).jpg
3,SourceLink,Omgevingsvisie 2050 (2021)
4,SourceLink,Omgevingsvisie 2050 (2021)
5,Image,samen (1).jpg
5,Image,groen samen (2).jpg
5,Image,samen (2).jpg
5,Image,samen (4).jpg
5,SourceLink,Omgevingsvisie 2050 (2021)
6,Image,OV_buurttypen.jpg
6,Image,OV_buurttypen_1.jpg
6,Image,OV_buurttypen_2.jpg
6,Image,OV_buurttypen_3.jpg
6,Image,OV_buurttypen_4.jpg
6,SourceLink,Omgevingsvisie 2050 (2021)
7,Image,bestaande stad (1).jpg
7,Image,bestaande stad (2).jpg
7,Image,bestaande stad (3).jpg
7,Image,bestaande stad (4).jpg
7,SourceLink,Omgevingsvisie 2050 (2021)
8,Image,OV_straten_lanen.jpg
8,Image,OV_stadsstraat.jpg
8,Image,OV_stadslaan.jpg
8,SourceLink,Omgevingsvisie 2050 (2021)
9,Image,OV_stedelijke_betekenis.jpg
9,Image,OV_stationskwartier.jpg
9,Image,OV_stedelijk_centrum.jpg
9,Image,OV_hotspot.jpg
9,SourceLink,Omgevingsvisie 2050 (2021)
10,Image,OV_raamwerk.jpg
10,SourceLink,Omgevingsvisie 2050 (2021)
11,Image,OV_gebruik_groen.jpg
11,SourceLink,Omgevingsvisie 2050 (2021)
12,Image,groenvisie 1.jpg
12,Image,groenvisie 2.jpg
12,Image,groenvisie 4.jpg
12,Link,Inrichtingsprincipes Groene Pleinen (2020).pdf
12,SourceLink,Groenvisie 2020 - 2050 (2020)
13,Image,groenvisie 5.jpg
13,Image,groen opgaven (7).jpg
13,Image,groen opgaven (2).jpg
13,Image,groen opgaven (3).jpg
13,Link,Inrichtingsprincipes Groene Pleinen (2020).pdf
13,SourceLink,Groenvisie 2020 - 2050 (2020)
14,Image,natuurinclusief (1).jpg
14,Image,natuurinclusief (2).jpg
14,Image,natuurinclusief (3).jpg
14,Image,natuurinclusief (4).jpg
14,Link,Inrichtingsprincipes Groene Pleinen (2020).pdf
14,Link,PvE Natuurvriendelijke Oevers (2023).pdf
14,SourceLink,Groenvisie 2020 - 2050 (2020)
15,Image,groen samen (1).jpg
15,Image,groen samen (2).jpg
15,Image,groen samen (3).jpg
15,Image,groen samen (4).jpg
15,Link,Inrichtingsprincipes Groene Pleinen (2020).pdf
15,SourceLink,Groenvisie 2020 - 2050 (2020)
16,Image,groen tenzij (1).jpg
16,Image,groen tenzij (2).jpg
16,Image,groen tenzij (3).jpg
16,Link,Inrichtingsprincipes Groene Pleinen (2020).pdf
16,Link,Klimplantengids (2022).pdf
16,SourceLink,Groenvisie 2020 - 2050 (2020)
18,Image,groenvisie buurtgroen 2.jpg
18,Image,groenvisie buurtgroen 3.jpg
18,Image,groenvisie buurtgroen.jpg
18,Link,Inrichtingsprincipes Groene Pleinen (2020).pdf
18,SourceLink,Groenvisie 2020 - 2050 (2020)
19,Image,groenvisie parkgebieden.jpg
19,SourceLink,Groenvisie 2020 - 2050 (2020)
20,Image,groenvisie landschap.jpg
20,SourceLink,Groenvisie 2020 - 2050 (2020)
21,Image,Puccini Groen 2 (v).jpg
21,Image,groen 5 (v).jpg
21,Image,groen 4 (v).jpg
21,Image,groen 3 (v).jpg
21,Link,Inrichtingsprincipes Groene Pleinen (2020).pdf
21,SourceLink,Beleidskader Puccinimethode (2018)
