id,text,description
2,"Amsterdam wil een leefbare stad zijn voor mens en dier. Daarbij gaat het vooral om de kwaliteit van, en de betrokkenheid bij, de directe leefomgeving en het inperken van overlast. Aantrekkelijke ontmoetingsplekken met kwalitatief groen in de buurt. Een leefbare stad voor dieren betekent dat Amsterdam een sterke en diverse groenstructuur kent met een grote biodiversiteit en klaar voor het klimaat van morgen.","De Amsterdamse openbare ruimte speelt een hoofdrol in het sociale en economische succes van de stad. In deze ‘huiskamer van de stad’ komt alles samen, hier zijn we allemaal welkom en moeten we ons veilig en thuis voelen. Hier wordt gerecreëerd, ontmoet, gewerkt, gedemonstreerd, of je bent er onderweg. In de 21e-eeuwse stad, met veel alleenstaanden en activiteiten die meer en sneller in elkaar overlopen, wordt de openbare ruimte des te intensiever en onverwachter gebruikt. Er wordt op het terras gewerkt, in het park gesport of ontmoet, bij de tramhalte appjes gestuurd, enzovoorts. Ook bezoekers beoordelen een stad grotendeels op basis van de openbare ruimte, het is het visitekaartje van de stad. Het belang ervan kan dus nauwelijks worden overschat. 

De Amsterdamse openbare ruimte omvat veel: wegen, pleinen, trottoirs, plantsoenen, water, bruggen, parken, sportvelden, speeltuinen. Veel van deze onderdelen komen in de omgevingsvisie aan de orde, met name in de paragrafen Groen, water, gezond, sport en Verkeer en vervoer. Keuzes die daarin vaak terugkomen, zijn meer ruimte voor groen en verblijf, meer openbaarheid, uitnodigend tot beweging, en minder uitnodigend voor de auto.

Maar we moeten de openbare ruimte oo in samenhang zien. De in 2017 vastgestelde Visie Openbare Ruimte 2025 doet dat en vormt dan ook de basis voor de inrichting en het beheer van onze openbare ruimte. De ambities uit deze visie zijn uitgewerkt in onder meer de Standaard voor het Amsterdamse Straatbeeld, het Beleidskader Verlichting en het Stedelijk Kader Buitenreclame. En uiteraard de Agenda Autoluw, waarmee we ruimte maken. Al het geldende beleid voor de openbare ruimte is
opgenomen in het digitale Handboek Inrichting Openbare Ruimte.

Op basis van de Omgevingsvisie 2050 maximaliseren we de positieve effecten van een groene omgeving voor mens en dier. Daarvoor maken we gebruik van vier principes:
1. We zorgen voor genoeg gevarieerd groen voor iedereen.
2. Groen draagt bij aan zoveel mogelijk opgaven.
3. De stad wordt natuurinclusief aangelegd en beheerd.
4. Aan groen werken we samen."
3,"Conform de Omgevinsvisie 2050 zet Amsterdam in op duurzaam en gezond bewegen in de openbare ruimte; heel Amsterdam OV-, wandel- en fietsstad.","Dat betekent:
- Een leefomgeving die uitnodigt tot ontmoeting, spelen en bewegen.
- Meer ruimte voor fietsers en voetgangers. Auto’s zijn te gast.
- Verkeerswegen (Gooiseweg, Lelylaan, Burg. Roëllstraat) worden groene stadslanen begeleid door bebouwing.
- Schaalsprong metro- en treinnet en vervoerhubs om stad en rest van de regio te verbinden
"
4,Conform de Omgevinsvisie 2050 zet Amsterdam in op rigoureus vergroenen; een gezonde en klimaatbestendige leefomgeving voor mens en dier.,"Dat betekent:
- Openbare ruimte zo groen mogelijk inrichten.
- Ontwikkeling parken (Hondsrugpark, Gaasperdakpark, Marineterrein, Zuidasdokpark en NDSM-Oost).
- Groene routes en ecologische verbindingen.
- Investeren in het landschap: natuurontwikkeling, kringlooplandbouw, en ruimte voor sporten en bewegen.
- Beschermen van rust- en ruigtegebieden (Oeverlanden, Bretten, Diemerbos)."
5,Conform de Omgevingsvisie 2050 zet Amsterdam in op samen stadmaken; richting geven op hoofdlijnen en ruimte bieden aan initiatief.,"Dat betekent:
- Gelijkwaardige (digitale) informatiepositie bij planvorming.
- Buurtbatenovereenkomsten en buurtomgevingsvisies.
- Grotere rol Amsterdammers bij beheer en ontwikkeling.
- Ruim baan voor wooncoöperaties: naar 10% van de woningvoorraad in 2040."
6,"De Omgevingsvisie 2050 maakt voor te ontwikkelen gebieden onderscheid in vier buurttypen, waarmee we sturen op een programma dat geschikt is voor een specifieke plek in de stad.","• Luwe stadsbuurt: Ontwikkeling van woonbuurten met een relatief lage dichtheid, een beperkt aandeel niet-woonfuncties en veel ruimte voor groen. Maatschappelijke voorzieningen, ruimte voor nutsvoorzieningen, groen en sport zijn naast ruimte voor wonen en werken onderdeel van de opgave voor de ontwikkeling.

• Gemengde stadsbuurt: Ontwikkeling van woonbuurten met een stedelijke dichtheid en een flink aandeel niet-wonen (vooral in plinten en af en toe in een groter gebouw). Groen krijgt een plek in de straten, buurtparkjes en langs watergangen. Maatschappelijke voorzieningen, ruimte voor nutsvoorzieningen, groen en sport zijn naast ruimte voor wonen en werken onderdeel van de opgave voor de ontwikkeling.

• Hoogstedelijke buurt: Ontwikkeling van woonbuurten met een hoogstedelijke dichtheid en meer ruimte voor niet-wonen. Groen krijgt een plek in de straten, buurtparkjes en grote stadsparken. Maatschappelijke voorzieningen, ruimte voor nutsvoorzieningen, groen en sport zijn naast ruimte voor wonen en werken onderdeel van de opgave voor de ontwikkeling.

• Hoogstedelijk centrum: Ontwikkeling van buurten met naast wonen, het grootste aandeel werken en kennis, voornamelijk in grootschaliger gebouwen. De buurten hebben een hoogstedelijke dichtheid, meestal op een klein oppervlak. Groen krijg een plek in de straten, buurtparkjes en grote stadsparken. Maatschappelijke voorzieningen, ruimte voor nutsvoorzieningen, groen en sport zijn naast ruimte voor wonen en werken onderdeel van de opgave voor de ontwikkeling."
7,De Omgevingsvisie 2050 maakt in de bestaande stad onderscheid in vier buurttypen met eigen karakteristieken.,"• Kleinschalige ontwikkeling en transformatie: Zonder veranderingen op structuurniveau versterking van bestaande buurten in de naoorlogse stad door nieuwe verbindingen, verduurzaming, toevoegen van woningen of ruimte voor bedrijvigheid.

• Centrumgebied: De binnenstad en de aangrenzende buurten in West, Zuid en Oost vervullen binnen de stad en ver daarbuiten een unieke en onvervangbare rol als stadscentrum. Hier ligt een grote opgave om de balans te bewaren tussen de stedelijke, nationale en internationale centrumfunctie en de lokale betekenis voor bewoners en mensen die er werken.

• Gemengde gebieden: Deze stadsbuurten met hoge dichtheid aan woningen worden gekenmerkt door een aantrekkelijke afwisseling tussen rustig wonen en levendige concentraties van voorzieningen in stadsstraten en aan pleinen. Het behoud van deze afwisseling staat hier voorop. Dat betekent dat we de bouwdynamiek controleren en ruimte voor publieksfuncties in stadsstraten beschermen.

• Luwe gebieden: In de naoorlogse gebieden (Nieuw-West, Zuidoost, Buitenveldert en naoorlogs Noord) voegen we een nieuwe stedelijke kwaliteit toe door verdichting langs de doorgaande straten en lanen. Daarmee worden het sociaal veilige straten en lanen met ruimte voor publieksfuncties en vormen ze vanzelfsprekende verbindingsroutes in het gebied zelf en met de gebieden eromheen. Tegenover gerichte verdichting staat behoud van bestaande luwe en groene kwaliteiten in andere buurten."
8,De Omgevingsvisie 2050 maakt onderscheid in stadsstraten en stadslanen. In stadsstraten concentreren zich publieksvoorzieningen en is naast verkeer veel ruimte voor ontmoeting en groen. De stadslanen hebben een overwegend groene inrichting met een sterke bomenstructuur. Ruimte voor voorzieningen is er vooral rondom de kruispunten.,"• We sturen in stadsstraten actief op met voldoende ruimte voor publieke functies in gebouwplinten, de inrichting van de openbare ruimte en het beschermen van ruimte voor winkels, horeca en maatschappelijke functies via het omgevingsplan. Er is in ieder geval plaats voor voetganger en fiets en klein elektrisch vervoer. Daarnaast moet in principe openbaar vervoer in het profiel ingepast kunnen worden. Eventueel is er ruimte voor gemotoriseerd verkeer. De autoluw-opgave kan in deze indeling in straten en lanen worden ingepast.

• Stadslanen vormen aantrekkelijke woonplekken. Er is in ieder geval plaats voor voetganger en fiets en klein elektrisch vervoer. Daarnaast moet in principe (hoogwaardig) openbaar vervoer in het profiel ingepast kunnen worden. Eventueel is er ruimte voor gemotoriseerd verkeer. De autoluw-opgave kan in deze indeling in straten en lanen worden ingepast."
9,De Omgevingsvisie 2050 onderscheidt zes soort plekken van 'stedelijke betekekenis'.,"Al deze plekken ontlenen hun aantrekkelijkheid aan de combinatie van het voorzieningenaanbod met de verblijfskwaliteit in de openbare ruimte. Er is daarom in straten en pleinen veel ruimte en aandacht voor groen, water en ontmoeting. Voor de pleinen is een inzet op verbijzonderde kwaliteit gevraagd. Een groene inrichting, met water en speelaanleidingen kan van deze pleinen centrale ontmoetingsplekken maken voor de hele omgeving. De functie als ontmoetingsplek vraagt ook om publiekstrekkende voorzieningen zoals cultuur, horeca en educatie.

• Stationskwartier: De directe omgeving van de grotere stations worden buurten met een hoogstedelijke dichtheid en een gemengd voorzieningenaanbod, waaronder grootstedelijke voorzieningen. Ze hebben een belangrijke rol in het regionale voorzieningenaanbod en de meerkernige ontwikkeling van de stad en regio. Ze zijn via aantrekkelijke straten en langzaamverkeerroutes goed aangesloten op de omliggende buurten en het is er ook prettig wonen.

• Stedelijk centrum: In de stedelijke centra concentreren zich lokale en stedelijke voorzieningen. Ze hebben een verzorgende rol voor omliggende buurten en het stadsdeel (boodschappen, dienstverlening en ontmoeting). Door het toevoegen van stedelijke functies (werk, cultuur en vrije tijd) krijgen ze betekenis voor de hele stad en dragen ze bij aan een meerkernige ontwikkeling. De stedelijke centra worden door het toevoegen van wonen en werken meer onderdeel van het omliggende stadsdeel.

• Kenniskwartier: Op deze plekken staan kennisontwikkeling, onderzoek en innovatie centraal. Ze bieden ruimte aan klein- en grootschalige werkgebouwen. Kenniskwartieren kennen een eigen focus en kleuring qua type onderzoek en bedrijvigheid. Sommige zijn zeer ruimte-intensief en publiekstrekkend, andere meer extensief met laboratoria en onderzoek. Alle kenniskwartieren zijn onderdeel van de stad en goed verbonden met hun omgeving. Er wordt ook gewoond en je vindt er een gemengd voorzieningenaanbod.

• Groen-blauwe hotspot: Deze stedelijke plekken hebben een uitzonderlijke landschappelijke kwaliteit. Ze zijn bij uitstek geschikt voor vrijetijdsfuncties als sportparken, strandjes, buitentheaters en musea. De nadruk ligt op ruimte voor buitenactiviteiten en passende programmaring en inrichting van de openbare ruimte. Eventueel hoort daar gebouwd programma bij, maar altijd zorgvuldig in het groen en water ingepast.

• Groen-blauwe kralenketting: De noordoever van het IJ is een aaneenschakeling van kleinere en grotere groen-blauwe hotspots. Het is een verzameling van stedelijke plekken aan het water, met een verschillend karakter (bijvoorbeeld industrieel of groen). Ze zijn aan elkaar geschakeld door langzaamverkeerroutes die soms langs het water liggen en soms meer landinwaarts. 

•  Centrumgebied: De binnenstad en de aangrenzende buurten in West, Zuid en Oost vervullen binnen de stad en ver daarbuiten een unieke en onvervangbare rol als stadscentrum. Hier ligt een grote opgave om de balans te bewaren tussen de stedelijke, nationale en internationale centrumfunctie en de lokale betekenis voor bewoners en mensen die er werken.



"
10,Conform de Omgevingsvisie 2050 onderscheiden we in het groen-blauwe raamwerk van Amsterdam verschillende onderdelen van de nieuwe hoofdgroenstructuur met eigen karakteristieken.,"•  Groen lint: Straten, lanen en fiets-/wandelroutes, die veel groene elementen bevatten, zoals bomenrijen en geveltuinen. Ze functioneren als verbindende lijnen tussen groene gebieden. Het karakter wordt met name bepaald door de stedenbouwkundige, cultuurhistorische en/of landschappelijke situatie. Het doel is om de samenhang en samenstelling van deze doorgaande groene linten te behouden of te versterken. Voorbeelden zijn de Noordelijke IJdijk in Noord met oude begeleidende beplantingen en het doorlopende groene talud en dijkvoet. Of de bomen langs de grachten van de binnenstad.

•  Groene corridor: Waterlopen, oevers, recreatieve fiets- en wandelroutes en taluds van dijklichamen, die groene verbindingen vormen met een hoge natuurwaarde. Het doel is zoveel mogelijk aaneengesloten vlakgroen zonder barrières. De inrichting kan sterk verschillen, afhankelijk van het accent op de natuur- of recreatiefunctie, landschappelijke basis en stedelijke context. Voorbeelden zijn de spoorberm langs de Tugelaweg in Oost en de Oostertocht langs de Klaprozenweg in Noord.

•  Park: Groene gebieden met ruimte voor recreatie en ontspanning. Ieder type park heeft verschillende eigenschappen en uitgangspunten met betrekking tot toegankelijkheid, ecologische waarde en intensiteit van het gebruik. We zorgen voor een balans tussen drukkere en rustigere parken en zones in parken. Parken die door groei van de stad meer bezoekers ontvangen, worden hiervoor beter ingericht en onderhouden. Door het faciliteren van medegebruik en meervoudig ruimtegebruik zijn
parken in meer of mindere mate altijd multifunctioneel. Voorbeelden zijn stadsparken als het Oosterpark en het Vondelpark, tuinparken als Amstelglorie en de Bretten, sportparken als Middenmeer en Ookmeer, maar ook begraafplaatsen als Westgaarde en De Nieuwe Ooster.

•  Landschapspark: Een samenhangend ensemble van parken en landschap, bestaande uit landbouwgrond, ruigtegebieden, recreatiegebieden en sportlandschappen, verbonden door recreatieve routes. Er wordt gezocht naar mogelijkheden om, passend bij de landschappelijke kwaliteiten van het gebied, de recreatieve toegankelijkheid en gebruiksmogelijkheden te vergroten. Dit is maatwerk, geen landschapspark is hetzelfde, maar een natuurlijkvriendelijke inrichting, en een zorgvuldige inpassing van recreatieve voorzieningen met een duidelijke zonering van drukkere en rustigere gebieden is het uitgangspunt. Voorbeelden zijn Het Twiske, de Tuinen van West en het Amsterdamse Bos.

•  Landschap: Landbouw- en natuurgebieden rondom de agglomeratie van Amsterdam dat gevormd is door landbouw, natuurbeheer, waterbeheersing en energieproductie (turfwinning). Nu en ook in de nabije toekomst is de groen-recreatieve functie hier niet de primaire drager, maar vormt het landschap het decor voor recreatief medegebruik. Het doel is een toekomstbestendig en met de stad verbonden landschap van hoge kwaliteit. Denk hierbij aan Waterland ten noorden van Amsterdam,
het veenrivierenlandschap langs de Amstel en de Vecht of de 19e-eeuwse droogmakerij Haarlemmermeerpolder.

•  Stadsnatuur: Op deze plekken staan extensief gebruik en natuurbeleving voorop. Dat komt tot uiting in de inrichting en bestemming. Deze gebieden hebben een hoge ecologische waarde.

•  Landelijk Noord: De opgave is hier de ontwikkeling van een nieuw evenwicht tussen veen en weide door het stimuleren van
de transitie naar een landschapsinclusieve landbouw en meer mogelijkheden voor extensief recreatief medegebruik. Een
duurzamer landschap zonder bodemdaling, een toename van de biodiversiteit en een groter waterbergend vermogen.

NB: Het lokale buurtgroen is een onlosmakelijk onderdeel van het groen-blauwe raamwerk van de stad, maar vormt geen onderdeel van de hoofdgroenstructuur, zoals die hieronder wordt beschreven. De invulling van buurtgroen en groen op gebouwen en kavels wordt op buurtniveau uitgewerkt, aan de hand van lokale opgaven en stedelijk beleid. Voldoende ruimte voor sport en groen op buurtniveau vormt een integraal onderdeel van de gebiedsontwikkeling (aan de hand van de referentienorm voor maatschappelijke voorzieningen). Hiervoor is de inpassing van een breed scala aan voorzieningen van verschillend formaat mogelijk, mede bepaald door de lokale behoefte en de grootte van de ontwikkeling. Nieuwe sportvoorzieningen worden tijdig, en in de nabijheid (tot maximaal 1,5 km afstand) van de nieuw te ontwikkelen woningen gerealiseerd."
11,"Conform de Omgevingsvisie 2050 maken we onderscheid in hoe het groen-blauwe raamwerk van Amsterdam gebruikt wordt, voor balans tussen rustige plekken en plekken die intensiever gebruikt worden.","• Stadsnatuurplekken: Op deze plekken staat de rust en extensief gebruik voorop. Dat komt tot uiting in de inrichting en bestemming. Deze gebieden hebben een hoge ecologische waarde.

• Zoekgebied stadsbos: Er wordt gezocht naar plekken voor kleinschalige bossen. De bossen krijgen een hoge ecologische waarde en zijn geschikt voor extensief recreatief gebruik.

• Begraafplaats: De begraafplaatsen in de stad hebben, naast hun oorspronkelijke betekenis, een grote natuurwaarde. Het zijn rustige plekken in de stad. Door ze toegankelijk te maken worden het groene plekken in de stad waar mensen de stilte kunnen opzoeken.

• Volkstuinpark: Volkstuinparken zijn door hun gevarieerde inrichting en aandachtig beheer waardevolle groene plekken in de stad en hebben een hoge natuurwaarde. We streven ernaar meer Amsterdammers te kunnen laten genieten van de schoonheid en rust van de volkstuinparken. De nadruk blijft er liggen op een kleinschalige, tuinachtige inrichting, met voornamelijk privaat beheer.

• Opgave sportlandschap: Op deze plekken wordt sport ingepast in een landschappelijke omgeving met veel natuurwaarde. Uitgangspunt is dat sport een positieve bijdrage levert aan de beleving en deze zorgvuldig is ingepast, zodat het karakter van het specifieke landschap niet wordt aangetast. De nadruk ligt op meer extensief georganiseerde sporten en de ongeorganiseerde, individuele sporten. Eventuele sportterreinen, faciliteiten en sportvelden hebben een groene en zo openbaar en
toegankelijk mogelijke inrichting.

• Sportpark: In de sportparken wordt optimaal intensief gebruik mogelijk gemaakt, om zo efficiënt mogelijk de opgave voor georganiseerde sport een plek te geven. De sportparken hebben een groene omlijsting.

• Potentie stadsstrand: Openbare plekken met recreatiemogelijkheden in of langs het water.

• Stadspark: In deze parken is ruimte voor ontspanning, ontmoeting, spelen en informeel sporten. Door de groei van de stad zal het gebruik ten opzichte van het huidige gebruik toenemen. Door de inrichting kunnen de parken gezoneerd worden in drukkere en rustigere delen. Onderhoud en beheer is een belangrijke opgave wegens het toenemende gebruik.

• Potentie groene-blauwe hotspot: De inzet op deze plekken is om, gebruikmakend van hun landschappelijke kwaliteit, hun stedelijke betekenis te vergroten. Vrijetijdsfuncties als bijvoorbeeld strandjes, waterrecreatie, buitentheaters en musea kunnen hier een plek krijgen. De nadruk ligt op buitenactiviteiten (zie ook de kaart ‘Plekken met stedelijke betekenis’)."
