item_id,name,value
2,Theme,1. Openbare Ruimte Algemeen
2,Theme,12. Groen
2,Area,Heel Amsterdam
2,Type,Ambitie
2,Level,Strategisch Niveau
2,Source,Omgevingsvisie 2050 (2021)
3,Theme,1. Openbare Ruimte Algemeen
3,Theme,3. Netwerken & Profielen
3,Theme,2. Structuur & Stedenbouwkunde
3,Area,Heel Amsterdam
3,Type,Uitgangspunt
3,Level,Strategisch Niveau
3,Source,Omgevingsvisie 2050 (2021)
4,Theme,1. Openbare Ruimte Algemeen
4,Theme,12. Groen
4,Theme,2. Structuur & Stedenbouwkunde
4,Area,Heel Amsterdam
4,Type,Uitgangspunt
4,Level,Strategisch Niveau
4,Source,Omgevingsvisie 2050 (2021)
5,Theme,1. Openbare Ruimte Algemeen
5,Area,Heel Amsterdam
5,Type,Uitgangspunt
5,Level,Proces
5,Source,Omgevingsvisie 2050 (2021)
6,Theme,1. Openbare Ruimte Algemeen
6,Theme,2. Structuur & Stedenbouwkunde
6,Area,Heel Amsterdam
6,Type,Uitgangspunt
6,Level,Strategisch Niveau
6,Source,Omgevingsvisie 2050 (2021)
7,Theme,1. Openbare Ruimte Algemeen
7,Theme,2. Structuur & Stedenbouwkunde
7,Area,Heel Amsterdam
7,Type,Uitgangspunt
7,Level,Strategisch Niveau
7,Source,Omgevingsvisie 2050 (2021)
8,Theme,3. Netwerken & Profielen
8,Theme,2. Structuur & Stedenbouwkunde
8,Area,Heel Amsterdam
8,Type,Uitgangspunt
8,Level,Strategisch Niveau
8,Source,Omgevingsvisie 2050 (2021)
9,Theme,1. Openbare Ruimte Algemeen
9,Theme,2. Structuur & Stedenbouwkunde
9,Area,Heel Amsterdam
9,Type,Uitgangspunt
9,Level,Strategisch Niveau
9,Source,Omgevingsvisie 2050 (2021)
10,Theme,1. Openbare Ruimte Algemeen
10,Theme,12. Groen
10,Area,Heel Amsterdam
10,Type,Uitgangspunt
10,Level,Strategisch Niveau
10,Source,Omgevingsvisie 2050 (2021)
11,Theme,1. Openbare Ruimte Algemeen
11,Theme,12. Groen
11,Area,Heel Amsterdam
11,Type,Uitgangspunt
11,Level,Strategisch Niveau
11,Source,Omgevingsvisie 2050 (2021)
12,Theme,12. Groen
12,Area,Heel Amsterdam
12,Type,Ambitie
12,Level,Strategisch Niveau
12,Source,Groenvisie 2020 - 2050 (2020)
13,Theme,12. Groen
13,Area,Heel Amsterdam
13,Type,Ambitie
13,Level,Strategisch Niveau
13,Source,Groenvisie 2020 - 2050 (2020)
14,Theme,12. Groen
14,Area,Heel Amsterdam
14,Type,Ambitie
14,Level,Strategisch Niveau
14,Source,Groenvisie 2020 - 2050 (2020)
15,Theme,12. Groen
15,Area,Heel Amsterdam
15,Type,Ambitie
15,Level,Strategisch Niveau
15,Source,Groenvisie 2020 - 2050 (2020)
16,Theme,12. Groen
16,Theme,9. Verhardingen
16,Area,Heel Amsterdam
16,Type,Uitgangspunt
16,Level,Tactisch Niveau
16,Source,Groenvisie 2020 - 2050 (2020)
18,Theme,12. Groen
18,Theme,2. Structuur & Stedenbouwkunde
18,Area,Heel Amsterdam
18,Type,Ambitie
18,Level,Tactisch Niveau
18,Source,Groenvisie 2020 - 2050 (2020)
19,Theme,12. Groen
19,Theme,2. Structuur & Stedenbouwkunde
19,Area,Heel Amsterdam
19,Type,Ambitie
19,Level,Tactisch Niveau
19,Source,Groenvisie 2020 - 2050 (2020)
20,Theme,12. Groen
